iter	RMSE
0	0.5318943777
1	0.5270476211
2	0.5216374969
3	0.5162136626
4	0.5114370604
5	0.5066374839
6	0.5023635422
7	0.4979026618
8	0.4938842765
9	0.4899751212
10	0.4860754588
11	0.4825182292
12	0.4789296576
13	0.4754844358
14	0.4723137883
15	0.4694471663
16	0.4662520208
17	0.4635498991
18	0.4611181175
19	0.4582302565
20	0.4556210671
21	0.4533211127
22	0.4508438189
23	0.4483938459
24	0.4465991301
25	0.4438364878
26	0.4417798332
27	0.4396573881
28	0.4378417081
29	0.4355171645
30	0.433691305
31	0.431968149
32	0.4300864205
33	0.4282716414
34	0.4267235912
35	0.4248462094
36	0.4234799882
37	0.4225381675
38	0.4210422065
39	0.4192007969
40	0.4178137567
41	0.4166622331
42	0.4153392137
43	0.4144141983
44	0.4134448897
45	0.412095072
46	0.4106937206
47	0.4093808857
48	0.4084548305
49	0.4074418214
50	0.4065020385
51	0.4052889737
52	0.4044600541
53	0.4037229371
54	0.4029824238
55	0.4018928203
56	0.4005556074
57	0.3995656099
58	0.3985693577
59	0.3977740816
60	0.396960335
61	0.3958638088
62	0.3947803916
63	0.3940849769
64	0.3931254561
65	0.3928157479
66	0.3919981039
67	0.3910710947
68	0.3901790877
69	0.3891739832
70	0.3885715985
71	0.3881527708
72	0.3872393022
73	0.3868715245
74	0.3861502627
75	0.3856230741
76	0.3850031341
77	0.3843369444
78	0.3837487907
79	0.3830620133
80	0.382470224
81	0.3818289585
82	0.3813413538
83	0.3808074224
84	0.3804992333
85	0.3802207907
86	0.3798356597
87	0.3795771542
88	0.3788584213
89	0.377853959
90	0.3770510668
91	0.3764226934
92	0.3758170118
93	0.3751756834
94	0.3746405596
95	0.3740949921
96	0.3736442893
97	0.3733097283
98	0.3727642339
99	0.3721413248
100	0.3715429508
101	0.3708824185
102	0.3704697431
103	0.3700979054
104	0.3697208588
105	0.3691179518
106	0.3686936909
107	0.3681596374
108	0.3676045299
109	0.367305443
110	0.3667435226
111	0.3661617155
112	0.3654549021
113	0.3646238446
114	0.3641797005
115	0.363582063
116	0.3632027104
117	0.3628132493
118	0.3623011196
119	0.3615719681
120	0.3612392606
121	0.3605166643
122	0.3600011374
123	0.3597270703
124	0.3590692408
125	0.3585366012
126	0.3578860731
127	0.3574345963
128	0.3568479328
129	0.3558961761
130	0.3552338457
131	0.3545826061
132	0.3541838332
133	0.3536763809
134	0.3534103362
135	0.3527970369
136	0.3524044442
137	0.3515152421
138	0.351192462
139	0.3507935903
140	0.3505798588
141	0.3501730093
142	0.34974095
143	0.3494066921
144	0.3488936228
145	0.3483457446
146	0.3480510952
147	0.3478913064
148	0.347156469
149	0.3468583114
150	0.3460250952
151	0.3455743452
152	0.3452047797
