iter	Passed	Remaining
0	7	7711
1	13	6959
2	20	6943
3	27	6917
4	32	6472
5	39	6533
6	46	6605
7	51	6439
8	55	6102
9	59	5841
10	65	5912
11	72	5961
12	79	6015
13	86	6075
14	93	6118
15	100	6152
16	106	6178
17	112	6133
18	119	6155
19	125	6169
20	132	6179
21	139	6193
22	147	6251
23	155	6303
24	162	6320
25	169	6331
26	176	6348
27	182	6344
28	189	6343
29	196	6343
30	202	6341
31	210	6370
32	217	6372
33	224	6386
34	231	6393
35	239	6400
36	245	6392
37	250	6330
38	257	6346
39	264	6347
40	271	6347
41	276	6316
42	284	6329
43	289	6292
44	296	6288
45	303	6284
46	309	6280
47	316	6278
48	323	6274
49	330	6275
50	336	6266
51	343	6266
52	350	6262
53	357	6263
54	364	6260
55	371	6255
56	378	6254
57	384	6247
58	391	6244
59	398	6239
60	405	6235
61	413	6251
62	420	6247
63	426	6243
64	433	6235
65	436	6181
66	443	6174
67	450	6167
68	456	6164
69	463	6163
70	471	6164
71	475	6129
72	482	6126
73	487	6102
74	494	6095
75	499	6072
76	506	6068
77	512	6059
78	518	6050
79	525	6045
80	532	6038
81	538	6032
82	545	6030
83	552	6021
84	558	6016
85	565	6011
86	572	6011
87	576	5971
88	583	5967
89	589	5963
90	596	5961
91	603	5956
92	610	5957
93	618	5961
94	625	5955
95	631	5950
96	638	5947
97	645	5942
98	652	5940
99	659	5934
100	666	5931
101	672	5924
102	680	5924
103	688	5928
104	693	5911
105	700	5907
106	707	5903
107	714	5899
108	721	5894
109	726	5880
110	733	5876
111	740	5873
112	747	5870
113	754	5867
114	762	5865
115	769	5863
116	776	5858
117	783	5854
118	789	5848
119	796	5843
120	804	5841
121	812	5847
122	819	5841
123	823	5819
124	831	5819
125	839	5821
126	848	5831
127	856	5836
128	864	5836
129	872	5835
130	879	5833
131	886	5830
132	893	5827
133	900	5821
134	907	5814
135	914	5807
136	922	5808
137	930	5809
138	943	5841
139	950	5837
140	955	5822
141	963	5820
142	969	5811
143	977	5809
144	983	5800
145	990	5793
146	997	5787
147	1001	5764
148	1008	5760
149	1016	5761
150	1023	5755
151	1030	5747
152	1036	5740
153	1043	5732
154	1052	5735
155	1058	5729
156	1065	5723
157	1072	5716
158	1079	5708
159	1086	5701
160	1092	5693
161	1099	5686
162	1106	5683
163	1113	5676
164	1119	5667
165	1126	5661
166	1133	5653
167	1140	5646
168	1146	5638
169	1153	5632
170	1160	5624
171	1166	5616
172	1173	5610
173	1180	5603
174	1187	5597
175	1193	5589
176	1200	5583
177	1207	5576
178	1216	5578
179	1222	5570
180	1229	5562
181	1235	5555
182	1243	5551
183	1250	5544
184	1257	5537
185	1263	5531
186	1270	5524
187	1278	5522
188	1285	5517
189	1293	5512
190	1299	5505
191	1307	5501
192	1314	5495
193	1320	5488
194	1327	5481
195	1334	5473
196	1341	5467
197	1348	5460
198	1354	5452
199	1361	5445
200	1367	5437
201	1374	5430
202	1381	5422
203	1387	5415
204	1394	5406
205	1400	5399
206	1407	5392
207	1414	5385
208	1422	5384
209	1429	5376
210	1435	5369
211	1442	5361
212	1449	5355
213	1456	5348
214	1462	5340
215	1469	5333
216	1476	5326
217	1482	5319
218	1489	5311
219	1496	5304
220	1502	5297
221	1509	5291
222	1517	5285
223	1520	5266
224	1527	5260
225	1533	5253
226	1540	5245
227	1547	5238
228	1553	5231
229	1560	5223
230	1564	5209
231	1571	5202
232	1578	5195
233	1585	5191
234	1592	5185
235	1599	5179
236	1606	5172
237	1613	5165
